Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Cost Variance ($ M),Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2120,EHB - AETC Web Application FY 12 Release,"This project encompasses development of the AETC Release 7.0.  The application release will be significantly modified to allow addition of a second Participant Information Form to capture data on participants in training that is jointly funded by HRSA and other agencies.  The addition of this PIF will also require a second, additional downloadable template and many new cross validations and system alerts.",16/01/2012,13/07/2012,13/07/2012,22/06/2012,0.093,21,11.73,0,0,0.093,0.093,23/07/2012,09:40:53,285579
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),3083,EHB - BPMH Release 3,This project will complete the BHPr performance management handbook for grantees.,01/06/2012,30/09/2012,30/09/2012,30/09/2012,0.473,0,0,-2.003,-423.47,0.473,2.476,23/07/2012,09:40:53,307802
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),3085,EHB - Nurse Managed Health Clinics,This project will use existing performance reporting functionality to capture data for the nurse managed health clinic program.,12/07/2012,28/09/2012,28/09/2012,28/09/2012,0.18,0,0,0,0,0.18,0.18,22/05/2012,08:09:28,307817
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),3087,EHB - RSR 5.x.2,"This project includes work on the RSR handboook related to gathering requirements: completion of Lessons Learned (both internal preparation and meetings with HAB), requirements elicitation, and drafting the initial requirements document.  It will also include design and development work for the first two sprints.  Anticipated components of this work include validation modifications.",01/02/2012,30/06/2012,30/06/2012,30/06/2012,0.072,-62,-41.33,-0.009,-12.5,0.072,0.081,23/07/2012,09:40:53,307823
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),3089,EHB - RSR 5.x.3,This project will include: creation of the final requirements document; modifications to database and business logic; completion of changes to validation messages and rules; and work on the administrative and user reports.  It will also include updates to the Performance Measures module and tool for RSR Export.  It will include all associated unit and integration testing throughout the sprints. At the end of this milestone most development work will be complete.,01/07/2012,14/09/2012,14/09/2012,14/09/2012,0.169,0,0,0,0,0.169,0.169,23/07/2012,09:40:53,307828
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),3091,EHB - ADR - September 2012 Release,"This project represents requirements, design and development work to be done on the ADR.  This will include:  Completion of the project baseline review stage gate; completion of the initial requirements and delivery of draft and final requirements documents; design and development of the grantee forms; revision of the database design and ERD; continued integration with platform lite.",11/06/2012,14/09/2012,14/09/2012,14/09/2012,0.213,0,0,0.072,33.8,0.213,0.141,23/07/2012,09:40:53,307833
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),3093,EHB - TVIS Data Entry 2014 - Release 1,"This project encompasses early development work for the April 2013 release of TVIS, to collect the 2014 application from grantees.  This will include:  documentation and delivery to the CAT of requirements for TVIS' EHB platform lite integration; analysis of affected integration points; development of a schedule for modification of TVIS to reflect platform lite/EHB revision; beginning development of changes to the application interface.",01/02/2012,15/06/2012,15/06/2012,15/06/2012,0.074,0,0,0,0,0.074,0.074,23/07/2012,09:40:53,307838
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),3095,EHB - TVIS Data Entry 2014 - Release 2,"This project encompasses the second phase of development work for the April 2013 release of TVIS, to collect the 2014 application from grantees.  This is anticipated to include:  completion of the majority of the remaining work to make significant modifications to TVIS to integrate with platform lite.  Included components in this phase are anticipated (pending final analysis) to include: Changes to the business logic layer and the controls; changes to the integration points to implement enhanced functionality; navigation and state maintenance changes; workflow modifications and implementation of new/enhanced features such as favorites.   The goal is to complete the majority of the rework of TVIS in this phase.",11/06/2012,14/09/2012,14/09/2012,14/09/2012,0.138,0,0,0.021,15.22,0.138,0.117,23/07/2012,09:40:53,307843
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),3097,EHB - TVIS Web Reports Nov. 2012 Release,"This project captures work required for the early phase of the TVIS November 2012 release of TVIS web reports, including lessons learned, requirements gathering, initial design, and the first phase of development work.  The November 2012 release of TVIS Web Reports will make available to the public data submitted by the 59 states and territories on their 2013 Title V Block Grant application.  This project also includes updates to the keywords in the system and keyword coding of state performance measures, as well as the addition of the factoids.",01/04/2012,30/11/2012,,,0.084 ($m),0,0,-1.106,-1316.67,0.084,1.19,23/07/2012,09:40:53,307848
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),3099,EHB - DGIS Web Reports May 2012 Release,"This project encompasses development of the development of DGIS Web Reports release planned for May 2012 up to and including the release.   This includes changes to forms for Short-term and Medium-term Trainees, Continuing Education and Technical Assistance.",01/02/2012,15/05/2012,15/05/2012,15/05/2012,0.117,0,0,0,0,0.117,0.117,28/06/2012,07:58:54,307853
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),3101,EHB - OHRP PIMS Data Collection 2012 - Release 4.2,"This project encompasses all development work for the August 2012 release of PIMS (4.2).  This includes:  Requirements analysis, elicitationand documentation; sprint planning; design and development; testing and demonstration for all programs and associated form and reports changes to be included in the August 1 release.  Included programs are:  Radiation, Screening, Exposure and Education (RESEP); Delta program; Workforce Development; Medicare Hospital Flexibility; Flex Rural Veterans; and Quality Improvement.  Changes involve form (interface) changes, logic/validation changes, changes to existing reports and development of new reports.   In addition, this release includes modification of PIMS to integrate with/adopt the new EHB UI (platform lite integration).",01/03/2012,01/08/2012,01/08/2012,01/08/2012,0.13,-30,-19.61,0.002,1.54,0.13,0.128,28/06/2012,07:58:54,307858
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),3103,EHB - Enterprise Site Repository,This project will extend existing functionality to provide for a repository for data about all sites representing HRSA program services).,17/01/2012,15/07/2012,15/07/2012,15/07/2012,0.33,-47,-26.11,-0.05,-15.15,0.33,0.38,23/07/2012,09:40:53,307861
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),3105,EHB - Project Management Tools 2012,This project will provide program authorizing officials and other HRSA management the capability to track the progress of the administration of their grant programs.,18/01/2012,30/09/2012,30/09/2012,30/09/2012,0.505,0,0,-0.46,-91.09,0.505,0.965,23/07/2012,09:40:53,307866
009-000001362,336,9,Department of Health and Human Services,IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements,2122,ICD-10 Transition,"Transitioning to the International Classification of Disease, 10th Revision (ICD-10) includes the design, programming, testing and implementation of the ASC X12 5010 and NCPDP D.0 transaction sets and the ICD-10 code sets within the Resource and Patient Management System (RPMS).  Design of this project will include the capability of running ICD-9 and ICD-10 in parallel. Strategic management and planning, extensive system changes, specialized education, and effective training and implementation are essential to a successful transition. The process will require the Office of Information Technology (OIT) to significantly modify the RPMS to accommodate the new codes. To this end, training of all staff that utilize ICD-10, including providers, billers, coders and others, will be required to ensure not only an efficient implementation of the code set conversion software, but also an understanding of the documentation requirements and coding guidelines.",01/10/2010,30/09/2013,,,8.175,0,0,-2350.07,-28747.03,8.175,2358.245,22/05/2012,08:09:30,293844
009-000001408,337,9,Department of Health and Human Services,NIH Business Intelligence System (NBIS),2125,NBIS-IDAP Finance Module,"The Integrated Data Analytics Project (IDAP) Finance was established to provide integration across all NBIS business areas starting with Finance, migrate mainframe data marts to the Oracle UNIX Platform and consolidate the current toolset to provide a uniform look and feel to the NIH Reporting Community.",01/06/2011,21/06/2013,,,5.84,0,0,-0.072,-1.23,5.84,5.912,26/04/2012,10:50:51,283882
